사용자 경험	이전 디버깅 세션을 불러오는 히스토리 기능을 제공하는가?	제공하지 않는다. 동일한 코드는 동일한 동작을 보장하므로 저장의 필요성이 낮다고 판단한다.
사용자 경험	모바일 또는 태블릿 환경을 지원하는가?	시각화 레이아웃 최적화를 위해 데스크탑 전용 서비스로 제한한다.
서비스 접근	회원가입이나 로그인 없이 서비스를 이용할 수 있는가?	별도의 로그인 절차 없이 모든 사용자가 게스트 상태로 자유롭게 이용할 수 있다.
서비스 운영	서비스의 비즈니스 모델은 무엇인가?	완전 무료로 운영하며, 유료화 모델은 추후 서비스 확장 단계에서 검토한다.
온보딩	별도의 튜토리얼 또는 사용법 안내 플로우를 제공하는가?	일단 후순위로 생각 중, 추후 적용 고려.
입력 및 분석	코드 작성 언어는 사용자가 직접 선택하는가, 아니면 AI가 코드 내용을 보고 자동 감지하는가?	사용자가 직접 선택할 수도 있고, 처음에 코드를 붙여 넣었을 때, 자동으로 감지되도록 할 수도 있을 듯. 꼭 AI가 판단하지 않고, 코드에서 쓰이는 keyword 를 사전에 설정해놓고 그것들이 포함되는지 여부에 따라 바로 감지할 수도 있을 듯
입력 및 분석	Python 이후 다음으로 지원할 언어의 우선순위 기준은 무엇인가? (사용자 요청 빈도, 구현 난이도, 타겟 사용자 등)	Python 우선 적용하고 추후 Javascript -> Java -> C++ 도 지원할 예정이므로 확장성 있게 설계해야 함.
시각화	변수 모니터링 패널에서 사용자가 특정 변수를 직접 핀(고정)하거나 숨기는 커스터마이징이 가능한가?	그런 기능은 생각하지 않음. 
시각화	시각화 결과물(스텝별 상태)을 이미지나 영상 등 외부 파일로 내보내기(Export)하는 기능을 제공하는가?	고려사항이 아님. 
사용자 경험	에러 없이 완료된 코드에서 출력 결과가 예상과 다를 경우(로직 오류), 서비스 차원에서 별도로 인지하거나 안내하는가?	안내 하지 않음. 코드를 있는 그대로 디버깅하는 것이 메인 기능.
사용자 경험	동일 코드를 다른 입력값(테스트 케이스)으로 다시 실행할 때, 코드는 유지한 채 입력값만 바꿔 재실행하는 편의 기능을 제공하는가?	무조건 가능해야 함.
사용자 경험	AI의 단계별 설명(explanation)이 이해되지 않을 때 사용자가 추가 질문을 하거나 상호작용하는 기능을 제공하는가?	AI 문답 형식의 서비스가 아님. 메인 기능은 디버거임. 시각화가 가능한 코드 디버거. 별도의 이해를 돕기 위한 설명 및 상호작용 기능을 제공하지 않음 
서비스 정체성	서비스의 공식 브랜드명은 'Frogger'와 '코드레이스' 중 무엇인가?	Frogger 임
서비스 정체성	서비스의 주요 제공 언어(UI 언어)는 한국어 단일인가, 아니면 영어 등 다국어 지원을 계획하고 있는가?	한국어, 영어 지원 가능. i18n-next 사용
